NAME,INSTALLED,FIXED-IN,TYPE,VULNERABILITY,SEVERITY
libwmf-0.2-7,0.2.12-5.1,Not Fixed,deb,CVE-2007-3477,Low
libwmf-0.2-7,0.2.12-5.1,Not Fixed,deb,CVE-2007-3476,Low
libwmf-dev,0.2.12-5.1,Not Fixed,deb,CVE-2009-3546,Medium
libwmf-dev,0.2.12-5.1,Not Fixed,deb,CVE-2007-3996,Medium
libwmf-dev,0.2.12-5.1,Not Fixed,deb,CVE-2007-3477,Low
libwmf-dev,0.2.12-5.1,Not Fixed,deb,CVE-2007-3476,Low
libwmflite-0.2-7,0.2.12-5.1,Not Fixed,deb,CVE-2009-3546,Medium
libwmflite-0.2-7,0.2.12-5.1,Not Fixed,deb,CVE-2007-3996,Medium
libwmflite-0.2-7,0.2.12-5.1,Not Fixed,deb,CVE-2007-3477,Low
libwmflite-0.2-7,0.2.12-5.1,Not Fixed,deb,CVE-2007-3476,Low
libxml2,2.9.14+dfsg-1.3~deb12u1,(won't fix),deb,CVE-2024-25062,High
libxml2,2.9.14+dfsg-1.3~deb12u1,(won't fix),deb,CVE-2023-45322,Medium
libxml2,2.9.14+dfsg-1.3~deb12u1,(won't fix),deb,CVE-2023-39615,Medium
libxml2,2.9.14+dfsg-1.3~deb12u1,Not Fixed,deb,CVE-2024-34459,Negligible
libxml2-dev,2.9.14+dfsg-1.3~deb12u1,(won't fix),deb,CVE-2024-25062,High
libxml2-dev,2.9.14+dfsg-1.3~deb12u1,(won't fix),deb,CVE-2023-45322,Medium
libxml2-dev,2.9.14+dfsg-1.3~deb12u1,(won't fix),deb,CVE-2023-39615,Medium
libxml2-dev,2.9.14+dfsg-1.3~deb12u1,Not Fixed,deb,CVE-2024-34459,Negligible
libxslt1-dev,1.1.35-1,Not Fixed,deb,CVE-2015-9019,Negligible
libxslt1.1,1.1.35-1,Not Fixed,deb,CVE-2015-9019,Negligible
login,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-4641,Medium
login,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-29383,Low
login,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2019-19882,Negligible
login,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2007-5686,Negligible
m4,1.4.19-3,Not Fixed,deb,CVE-2008-1688,Negligible
m4,1.4.19-3,Not Fixed,deb,CVE-2008-1687,Negligible
mariadb-common,1:10.11.6-0+deb12u1,(won't fix),deb,CVE-2024-21096,Medium
mount,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
ncurses-base,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
ncurses-base,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
ncurses-bin,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
ncurses-bin,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
openssh-client,1:9.2p1-2+deb12u2,Not Fixed,deb,CVE-2023-51767,Negligible
openssh-client,1:9.2p1-2+deb12u2,Not Fixed,deb,CVE-2020-15778,Negligible
openssh-client,1:9.2p1-2+deb12u2,Not Fixed,deb,CVE-2020-14145,Negligible
openssh-client,1:9.2p1-2+deb12u2,Not Fixed,deb,CVE-2019-6110,Negligible
openssh-client,1:9.2p1-2+deb12u2,Not Fixed,deb,CVE-2018-15919,Negligible
openssh-client,1:9.2p1-2+deb12u2,Not Fixed,deb,CVE-2016-20012,Negligible
openssh-client,1:9.2p1-2+deb12u2,Not Fixed,deb,CVE-2008-3234,Negligible
openssh-client,1:9.2p1-2+deb12u2,Not Fixed,deb,CVE-2007-2768,Negligible
openssh-client,1:9.2p1-2+deb12u2,Not Fixed,deb,CVE-2007-2243,Negligible
openssl,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-0727,Medium
openssl,3.0.11-1~deb12u2,(won't fix),deb,CVE-2023-6129,Medium
openssl,3.0.11-1~deb12u2,(won't fix),deb,CVE-2023-5678,Medium
openssl,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-4741,Unknown
openssl,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-4603,Unknown
openssl,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-2511,Unknown
openssl,3.0.11-1~deb12u2,(won't fix),deb,CVE-2023-6237,Unknown
passwd,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-4641,Medium
passwd,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-29383,Low
passwd,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2019-19882,Negligible
passwd,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2007-5686,Negligible
patch,2.7.6-7,Not Fixed,deb,CVE-2021-45261,Negligible
patch,2.7.6-7,Not Fixed,deb,CVE-2018-6952,Negligible
patch,2.7.6-7,Not Fixed,deb,CVE-2018-6951,Negligible
patch,2.7.6-7,Not Fixed,deb,CVE-2010-4651,Negligible
perl,5.36.0-7+deb12u1,(won't fix),deb,CVE-2023-31484,High
perl,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2023-31486,Negligible
perl,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2011-4116,Negligible
perl-base,5.36.0-7+deb12u1,(won't fix),deb,CVE-2023-31484,High
perl-base,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2023-31486,Negligible
perl-base,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2011-4116,Negligible
perl-modules-5.36,5.36.0-7+deb12u1,(won't fix),deb,CVE-2023-31484,High
perl-modules-5.36,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2023-31486,Negligible
perl-modules-5.36,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2011-4116,Negligible
procps,2:4.0.2-3,(won't fix),deb,CVE-2023-4016,Low
python3.11,3.11.2-6,(won't fix),deb,CVE-2023-6597,High
python3.11,3.11.2-6,(won't fix),deb,CVE-2023-41105,High
python3.11,3.11.2-6,(won't fix),deb,CVE-2023-24329,High
python3.11,3.11.2-6,(won't fix),deb,CVE-2024-0450,Medium
python3.11,3.11.2-6,(won't fix),deb,CVE-2023-40217,Medium
python3.11,3.11.2-6,(won't fix),deb,CVE-2023-27043,Medium
python3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2023-6597,High
python3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2023-41105,High
python3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2023-24329,High
python3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2024-0450,Medium
python3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2023-40217,Medium
python3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2023-27043,Medium
tar,1.34+dfsg-1.2+deb12u1,Not Fixed,deb,CVE-2005-2541,Negligible
tcl8.6,8.6.13+dfsg-2,Not Fixed,deb,CVE-2021-35331,Negligible
tcl8.6-dev,8.6.13+dfsg-2,Not Fixed,deb,CVE-2021-35331,Negligible
unzip,6.0-28,Not Fixed,deb,CVE-2021-4217,Negligible
util-linux,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
util-linux-extra,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
uuid-dev,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
wget,1.21.3-1+b1,(won't fix),deb,CVE-2021-31879,Medium
zlib1g,1:1.2.13.dfsg-1,(won't fix),deb,CVE-2023-45853,Critical
zlib1g-dev,1:1.2.13.dfsg-1,(won't fix),deb,CVE-2023-45853,Critical
apt,2.6.1,Not Fixed,deb,CVE-2011-3374,Negligible
binutils,2.40-2,Not Fixed,deb,CVE-2023-1972,Negligible
binutils,2.40-2,Not Fixed,deb,CVE-2021-32256,Negligible
binutils,2.40-2,Not Fixed,deb,CVE-2018-9996,Negligible
binutils,2.40-2,Not Fixed,deb,CVE-2018-20712,Negligible
binutils,2.40-2,Not Fixed,deb,CVE-2018-20673,Negligible
binutils,2.40-2,Not Fixed,deb,CVE-2018-18483,Negligible
binutils,2.40-2,Not Fixed,deb,CVE-2017-13716,Negligible
binutils-aarch64-linux-gnu,2.40-2,Not Fixed,deb,CVE-2023-1972,Negligible
binutils-aarch64-linux-gnu,2.40-2,Not Fixed,deb,CVE-2021-32256,Negligible
binutils-aarch64-linux-gnu,2.40-2,Not Fixed,deb,CVE-2018-9996,Negligible
binutils-aarch64-linux-gnu,2.40-2,Not Fixed,deb,CVE-2018-20712,Negligible
binutils-aarch64-linux-gnu,2.40-2,Not Fixed,deb,CVE-2018-20673,Negligible
binutils-aarch64-linux-gnu,2.40-2,Not Fixed,deb,CVE-2018-18483,Negligible
binutils-aarch64-linux-gnu,2.40-2,Not Fixed,deb,CVE-2017-13716,Negligible
binutils-common,2.40-2,Not Fixed,deb,CVE-2023-1972,Negligible
binutils-common,2.40-2,Not Fixed,deb,CVE-2021-32256,Negligible
binutils-common,2.40-2,Not Fixed,deb,CVE-2018-9996,Negligible
binutils-common,2.40-2,Not Fixed,deb,CVE-2018-20712,Negligible
binutils-common,2.40-2,Not Fixed,deb,CVE-2018-20673,Negligible
binutils-common,2.40-2,Not Fixed,deb,CVE-2018-18483,Negligible
binutils-common,2.40-2,Not Fixed,deb,CVE-2017-13716,Negligible
bsdutils,1:2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
coreutils,9.1-1,(won't fix),deb,CVE-2016-2781,Low
coreutils,9.1-1,Not Fixed,deb,CVE-2017-18018,Negligible
cpp-12,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
cpp-12,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
curl,7.88.1-10+deb12u5,Not Fixed,deb,CVE-2024-2379,Negligible
curl,7.88.1-10+deb12u5,(won't fix),deb,CVE-2024-2398,Unknown
curl,7.88.1-10+deb12u5,(won't fix),deb,CVE-2024-2004,Unknown
dirmngr,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
g++-12,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
g++-12,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
gcc-12,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
gcc-12,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
gcc-12-base,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
gcc-12-base,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
git,1:2.39.2-1.1,Not Fixed,deb,CVE-2024-32002,Critical
git,1:2.39.2-1.1,Not Fixed,deb,CVE-2024-32465,High
git,1:2.39.2-1.1,Not Fixed,deb,CVE-2024-32004,High
git,1:2.39.2-1.1,(won't fix),deb,CVE-2023-29007,High
git,1:2.39.2-1.1,(won't fix),deb,CVE-2023-25652,High
git,1:2.39.2-1.1,Not Fixed,deb,CVE-2024-32021,Low
git,1:2.39.2-1.1,Not Fixed,deb,CVE-2024-32020,Low
git,1:2.39.2-1.1,(won't fix),deb,CVE-2023-25815,Low
git,1:2.39.2-1.1,Not Fixed,deb,CVE-2022-24975,Negligible
git,1:2.39.2-1.1,Not Fixed,deb,CVE-2018-1000021,Negligible
git-man,1:2.39.2-1.1,Not Fixed,deb,CVE-2024-32002,Critical
git-man,1:2.39.2-1.1,Not Fixed,deb,CVE-2024-32465,High
git-man,1:2.39.2-1.1,Not Fixed,deb,CVE-2024-32004,High
git-man,1:2.39.2-1.1,(won't fix),deb,CVE-2023-29007,High
git-man,1:2.39.2-1.1,(won't fix),deb,CVE-2023-25652,High
git-man,1:2.39.2-1.1,Not Fixed,deb,CVE-2024-32021,Low
git-man,1:2.39.2-1.1,Not Fixed,deb,CVE-2024-32020,Low
git-man,1:2.39.2-1.1,(won't fix),deb,CVE-2023-25815,Low
git-man,1:2.39.2-1.1,Not Fixed,deb,CVE-2022-24975,Negligible
git-man,1:2.39.2-1.1,Not Fixed,deb,CVE-2018-1000021,Negligible
gnupg,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
gnupg-l10n,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
gnupg-utils,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
gpg,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
gpg-agent,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
gpg-wks-client,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
gpg-wks-server,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
gpgconf,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
gpgsm,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
gpgv,2.2.40-1.1,Not Fixed,deb,CVE-2022-3219,Negligible
libapt-pkg6.0,2.6.1,Not Fixed,deb,CVE-2011-3374,Negligible
libasan8,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libasan8,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libatomic1,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libatomic1,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libbinutils,2.40-2,Not Fixed,deb,CVE-2023-1972,Negligible
libbinutils,2.40-2,Not Fixed,deb,CVE-2021-32256,Negligible
libbinutils,2.40-2,Not Fixed,deb,CVE-2018-9996,Negligible
libbinutils,2.40-2,Not Fixed,deb,CVE-2018-20712,Negligible
libbinutils,2.40-2,Not Fixed,deb,CVE-2018-20673,Negligible
libbinutils,2.40-2,Not Fixed,deb,CVE-2018-18483,Negligible
libbinutils,2.40-2,Not Fixed,deb,CVE-2017-13716,Negligible
libblkid1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-9192,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010025,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010024,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010023,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010022,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2018-20796,Negligible
libc-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2010-4756,Negligible
libc-dev-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-9192,Negligible
libc-dev-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010025,Negligible
libc-dev-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010024,Negligible
libc-dev-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010023,Negligible
libc-dev-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010022,Negligible
libc-dev-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2018-20796,Negligible
libc-dev-bin,2.36-9+deb12u7,Not Fixed,deb,CVE-2010-4756,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-9192,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010025,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010024,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010023,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010022,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2018-20796,Negligible
libc6,2.36-9+deb12u7,Not Fixed,deb,CVE-2010-4756,Negligible
libc6-dev,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-9192,Negligible
libc6-dev,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010025,Negligible
libc6-dev,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010024,Negligible
libc6-dev,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010023,Negligible
libc6-dev,2.36-9+deb12u7,Not Fixed,deb,CVE-2019-1010022,Negligible
libc6-dev,2.36-9+deb12u7,Not Fixed,deb,CVE-2018-20796,Negligible
libc6-dev,2.36-9+deb12u7,Not Fixed,deb,CVE-2010-4756,Negligible
libcc1-0,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libcc1-0,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libctf-nobfd0,2.40-2,Not Fixed,deb,CVE-2023-1972,Negligible
libctf-nobfd0,2.40-2,Not Fixed,deb,CVE-2021-32256,Negligible
libctf-nobfd0,2.40-2,Not Fixed,deb,CVE-2018-9996,Negligible
libctf-nobfd0,2.40-2,Not Fixed,deb,CVE-2018-20712,Negligible
libctf-nobfd0,2.40-2,Not Fixed,deb,CVE-2018-20673,Negligible
libctf-nobfd0,2.40-2,Not Fixed,deb,CVE-2018-18483,Negligible
libctf-nobfd0,2.40-2,Not Fixed,deb,CVE-2017-13716,Negligible
libctf0,2.40-2,Not Fixed,deb,CVE-2023-1972,Negligible
libctf0,2.40-2,Not Fixed,deb,CVE-2021-32256,Negligible
libctf0,2.40-2,Not Fixed,deb,CVE-2018-9996,Negligible
libctf0,2.40-2,Not Fixed,deb,CVE-2018-20712,Negligible
libctf0,2.40-2,Not Fixed,deb,CVE-2018-20673,Negligible
libctf0,2.40-2,Not Fixed,deb,CVE-2018-18483,Negligible
libctf0,2.40-2,Not Fixed,deb,CVE-2017-13716,Negligible
libcurl3-gnutls,7.88.1-10+deb12u5,Not Fixed,deb,CVE-2024-2379,Negligible
libcurl3-gnutls,7.88.1-10+deb12u5,(won't fix),deb,CVE-2024-2398,Unknown
libcurl3-gnutls,7.88.1-10+deb12u5,(won't fix),deb,CVE-2024-2004,Unknown
libcurl4,7.88.1-10+deb12u5,Not Fixed,deb,CVE-2024-2379,Negligible
libcurl4,7.88.1-10+deb12u5,(won't fix),deb,CVE-2024-2398,Unknown
libcurl4,7.88.1-10+deb12u5,(won't fix),deb,CVE-2024-2004,Unknown
libexpat1,2.5.0-1,(won't fix),deb,CVE-2023-52425,High
libexpat1,2.5.0-1,Not Fixed,deb,CVE-2024-28757,Negligible
libexpat1,2.5.0-1,Not Fixed,deb,CVE-2023-52426,Negligible
libgcc-12-dev,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libgcc-12-dev,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libgcc-s1,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libgcc-s1,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libgcrypt20,1.10.1-3,(won't fix),deb,CVE-2024-2236,Medium
libgcrypt20,1.10.1-3,Not Fixed,deb,CVE-2018-6829,Negligible
libgnutls30,3.7.9-2+deb12u2,(won't fix),deb,CVE-2024-28835,Medium
libgnutls30,3.7.9-2+deb12u2,(won't fix),deb,CVE-2024-28834,Medium
libgnutls30,3.7.9-2+deb12u2,Not Fixed,deb,CVE-2011-3389,Negligible
libgomp1,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libgomp1,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libgprofng0,2.40-2,Not Fixed,deb,CVE-2023-1972,Negligible
libgprofng0,2.40-2,Not Fixed,deb,CVE-2021-32256,Negligible
libgprofng0,2.40-2,Not Fixed,deb,CVE-2018-9996,Negligible
libgprofng0,2.40-2,Not Fixed,deb,CVE-2018-20712,Negligible
libgprofng0,2.40-2,Not Fixed,deb,CVE-2018-20673,Negligible
libgprofng0,2.40-2,Not Fixed,deb,CVE-2018-18483,Negligible
libgprofng0,2.40-2,Not Fixed,deb,CVE-2017-13716,Negligible
libgssapi-krb5-2,1.20.1-2+deb12u1,Not Fixed,deb,CVE-2018-5709,Negligible
libgssapi-krb5-2,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26462,Unknown
libgssapi-krb5-2,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26461,Unknown
libgssapi-krb5-2,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26458,Unknown
libhwasan0,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libhwasan0,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libitm1,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libitm1,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libjansson4,2.14-2,Not Fixed,deb,CVE-2020-36325,Negligible
libk5crypto3,1.20.1-2+deb12u1,Not Fixed,deb,CVE-2018-5709,Negligible
libk5crypto3,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26462,Unknown
libk5crypto3,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26461,Unknown
libk5crypto3,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26458,Unknown
libkrb5-3,1.20.1-2+deb12u1,Not Fixed,deb,CVE-2018-5709,Negligible
libkrb5-3,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26462,Unknown
libkrb5-3,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26461,Unknown
libkrb5-3,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26458,Unknown
libkrb5support0,1.20.1-2+deb12u1,Not Fixed,deb,CVE-2018-5709,Negligible
libkrb5support0,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26462,Unknown
libkrb5support0,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26461,Unknown
libkrb5support0,1.20.1-2+deb12u1,(won't fix),deb,CVE-2024-26458,Unknown
libldap-2.5-0,2.5.13+dfsg-5,(won't fix),deb,CVE-2023-2953,High
libldap-2.5-0,2.5.13+dfsg-5,Not Fixed,deb,CVE-2020-15719,Negligible
libldap-2.5-0,2.5.13+dfsg-5,Not Fixed,deb,CVE-2017-17740,Negligible
libldap-2.5-0,2.5.13+dfsg-5,Not Fixed,deb,CVE-2017-14159,Negligible
libldap-2.5-0,2.5.13+dfsg-5,Not Fixed,deb,CVE-2015-3276,Negligible
liblsan0,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
liblsan0,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libmount1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
libncursesw6,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
libncursesw6,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
libnghttp2-14,1.52.0-1+deb12u1,Not Fixed,deb,CVE-2024-28182,Medium
libpam-modules,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libpam-modules-bin,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libpam-runtime,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libpam0g,1.5.2-6+deb12u1,(won't fix),deb,CVE-2024-22365,Medium
libperl5.36,5.36.0-7+deb12u1,(won't fix),deb,CVE-2023-31484,High
libperl5.36,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2023-31486,Negligible
libperl5.36,5.36.0-7+deb12u1,Not Fixed,deb,CVE-2011-4116,Negligible
libproc2-0,2:4.0.2-3,(won't fix),deb,CVE-2023-4016,Low
libpython3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2023-6597,High
libpython3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2023-41105,High
libpython3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2023-24329,High
libpython3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2024-0450,Medium
libpython3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2023-40217,Medium
libpython3.11-minimal,3.11.2-6,(won't fix),deb,CVE-2023-27043,Medium
libpython3.11-stdlib,3.11.2-6,(won't fix),deb,CVE-2023-6597,High
libpython3.11-stdlib,3.11.2-6,(won't fix),deb,CVE-2023-41105,High
libpython3.11-stdlib,3.11.2-6,(won't fix),deb,CVE-2023-24329,High
libpython3.11-stdlib,3.11.2-6,(won't fix),deb,CVE-2024-0450,Medium
libpython3.11-stdlib,3.11.2-6,(won't fix),deb,CVE-2023-40217,Medium
libpython3.11-stdlib,3.11.2-6,(won't fix),deb,CVE-2023-27043,Medium
libsmartcols1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
libsqlite3-0,3.40.1-2,(won't fix),deb,CVE-2023-7104,High
libsqlite3-0,3.40.1-2,(won't fix),deb,CVE-2024-0232,Medium
libsqlite3-0,3.40.1-2,Not Fixed,deb,CVE-2021-45346,Negligible
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-0727,Medium
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2023-6129,Medium
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2023-5678,Medium
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-4741,Unknown
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-4603,Unknown
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2024-2511,Unknown
libssl3,3.0.11-1~deb12u2,(won't fix),deb,CVE-2023-6237,Unknown
libstdc++-12-dev,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libstdc++-12-dev,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libstdc++6,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libstdc++6,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libsystemd0,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50387,High
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31439,Negligible
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31438,Negligible
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31437,Negligible
libsystemd0,252.22-1~deb12u1,Not Fixed,deb,CVE-2013-4392,Negligible
libsystemd0,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50868,Unknown
libtinfo6,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
libtinfo6,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
libtsan2,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libtsan2,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libubsan1,12.2.0-14,(won't fix),deb,CVE-2023-4039,Medium
libubsan1,12.2.0-14,Not Fixed,deb,CVE-2022-27943,Negligible
libudev1,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50387,High
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31439,Negligible
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31438,Negligible
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2023-31437,Negligible
libudev1,252.22-1~deb12u1,Not Fixed,deb,CVE-2013-4392,Negligible
libudev1,252.22-1~deb12u1,(won't fix),deb,CVE-2023-50868,Unknown
libuuid1,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
login,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-4641,Medium
login,1:4.13+dfsg1-1+b1,(won't fix),deb,CVE-2023-29383,Low
login,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2019-19882,Negligible
login,1:4.13+dfsg1-1+b1,Not Fixed,deb,CVE-2007-5686,Negligible
mount,2.38.1-5+deb12u1,Not Fixed,deb,CVE-2022-0563,Negligible
ncurses-base,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
ncurses-base,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
ncurses-bin,6.4-4,(won't fix),deb,CVE-2023-50495,Medium
ncurses-bin,6.4-4,(won't fix),deb,CVE-2023-45918,Unknown
openssh-client,1:9.2p1-2+deb12u2,Not Fixed,deb,CVE-2023-51767,Negligible
